Orthogroup	NoOfSitesUnderDiversifyingPositiveSelection
OG0000046	9
OG0000065	1
OG0000082	1
OG0000104	5
OG0000108	7
OG0000124	0
OG0000140	4
OG0000152	2
OG0000154	6
OG0000162	3
OG0000184	0
OG0000203	1
OG0000223	0
OG0000251	9
OG0000253	0
OG0000297	5
OG0000329	3
OG0000335	2
OG0000341	2
OG0000345	5
OG0000360	4
OG0000368	1
OG0000374	3
OG0000375	2
OG0000395	3
OG0000405	0
OG0000411	0
OG0000420	1
OG0000427	1
OG0000474	4
OG0000498	0
OG0000523	0
OG0000524	3
OG0000532	2
OG0000571	1
OG0000599	1
OG0000600	4
OG0000604	1
OG0000631	5
OG0000645	0
OG0000654	0
OG0000660	2
OG0000665	1
OG0000762	6
OG0000769	3
OG0000784	1
OG0000795	5
OG0000866	5
OG0000933	5
OG0000995	1
OG0001012	6
OG0001025	0
OG0001026	1
OG0001036	1
OG0001073	1
OG0001083	0
OG0001099	3
OG0001172	3
OG0001189	2
OG0001194	2
OG0001242	7
OG0001270	4
OG0001284	0
OG0001293	1
OG0001321	1
OG0001340	1
OG0001381	3
OG0001390	0
OG0001399	1
OG0001400	1
OG0001404	0
OG0001414	2
OG0001415	1
OG0001420	2
OG0001510	0
OG0001511	1
OG0001627	2
OG0001648	0
OG0001656	4
OG0001672	0
OG0001721	0
OG0001735	0
OG0001740	2
OG0001744	1
OG0001746	1
OG0001748	3
OG0001761	1
OG0001763	2
OG0001766	2
OG0001769	1
OG0001775	0
OG0001782	0
OG0001788	2
OG0001802	0
OG0001804	1
OG0001817	2
OG0001839	3
OG0001842	0
OG0001853	1
OG0001965	1
OG0002034	0
OG0002092	1
OG0002131	0
OG0002143	3
OG0002153	1
OG0002155	0
OG0002186	2
OG0002199	3
OG0002220	0
OG0002221	4
OG0002234	3
OG0002235	0
OG0002255	1
OG0002260	4
OG0002262	4
OG0002276	0
OG0002282	1
OG0002290	1
OG0002305	1
OG0002311	3
OG0002351	0
OG0002361	0
OG0002370	1
OG0002372	0
OG0002379	1
OG0002503	2
OG0002504	1
OG0002557	2
OG0002640	1
OG0002700	0
OG0002746	1
OG0002770	1
OG0002776	1
OG0002778	1
OG0002805	1
OG0002808	0
OG0002812	0
OG0002842	0
OG0002846	0
OG0002860	2
OG0002888	2
OG0002904	0
OG0002916	2
OG0002928	1
OG0002940	1
OG0002946	0
OG0002951	3
OG0002981	2
OG0003018	4
OG0003028	2
OG0003037	0
OG0003044	1
OG0003045	0
OG0003051	0
OG0003056	1
OG0003069	1
OG0003101	0
OG0003106	1
OG0003268	0
OG0003293	0
OG0003312	0
OG0003317	2
OG0003399	1
OG0003406	0
OG0003428	1
OG0003443	0
OG0003454	2
OG0003489	1
OG0003492	2
OG0003503	1
OG0003511	0
OG0003513	7
OG0003536	0
OG0003543	2
OG0003553	2
OG0003589	1
OG0003594	3
OG0003612	1
OG0003622	2
OG0003635	0
OG0003665	3
OG0003677	0
OG0003682	2
OG0003685	2
OG0003687	1
OG0003713	3
OG0003724	2
OG0003731	0
OG0003747	0
OG0003768	1
OG0003770	1
OG0003800	2
OG0003803	2
OG0003804	1
OG0003805	2
OG0003815	0
OG0003843	0
OG0003848	0
OG0003857	0
OG0003867	0
OG0003875	0
OG0003877	0
OG0003884	1
OG0003914	1
OG0003923	0
OG0003926	0
OG0003937	0
OG0003973	0
OG0004170	0
OG0004171	0
OG0004175	1
OG0004217	0
OG0004240	1
OG0004251	3
OG0004261	1
OG0004311	0
OG0004337	2
OG0004423	0
OG0004425	0
OG0004528	0
OG0004545	0
OG0004570	1
OG0004590	4
OG0004605	1
OG0004606	1
OG0004614	0
OG0004646	0
OG0004660	1
OG0004688	0
OG0004706	0
OG0004710	0
OG0004712	0
OG0004743	1
OG0004748	1
OG0004769	3
OG0004787	3
OG0004798	0
OG0004840	2
OG0004868	1
OG0004918	1
OG0004960	2
OG0004963	0
OG0004970	1
OG0004984	0
OG0005013	0
OG0005029	1
OG0005048	0
OG0005057	2
OG0005073	1
OG0005083	2
OG0005090	0
OG0005097	3
OG0005439	0
OG0005528	0
OG0005554	3
OG0005563	2
OG0005591	1
OG0005694	0
OG0005705	1
OG0005729	0
OG0005736	0
OG0005780	0
OG0005803	0
OG0005829	0
OG0005834	2
OG0005843	1
OG0005848	0
OG0005856	0
OG0005862	1
OG0005876	4
OG0005879	0
OG0005911	0
OG0005921	0
OG0005928	3
OG0005957	2
OG0005962	1
OG0006070	3
OG0006085	1
OG0006090	1
OG0006091	0
OG0006104	2
OG0006139	3
OG0006160	2
OG0006184	0
OG0006191	0
OG0006202	0
OG0006205	1
OG0006209	0
OG0006217	1
OG0006235	0
OG0006264	2
OG0006293	4
OG0006297	0
OG0006368	0
OG0006371	0
OG0006379	2
OG0006399	1
OG0006409	2
OG0006417	4
OG0006553	4
OG0006801	0
OG0006879	1
OG0006895	1
OG0006960	1
OG0007045	1
OG0007084	0
OG0007135	1
OG0007142	0
OG0007151	1
OG0007175	0
OG0007210	0
OG0007269	0
OG0007277	1
OG0007326	3
OG0007343	0
OG0007350	0
OG0007437	1
OG0007443	0
OG0007446	0
OG0007447	2
OG0007459	0
OG0007502	0
OG0007513	0
OG0007522	1
OG0007524	0
OG0007531	1
OG0007537	0
OG0007547	1
OG0007582	1
OG0007608	0
OG0007617	1
OG0007620	2
OG0007659	1
OG0007662	3
OG0007681	0
OG0007682	1
OG0007691	0
OG0007747	1
OG0007751	2
OG0007762	3
OG0007765	8
OG0007773	2
OG0007796	0
OG0007819	0
OG0007821	0
OG0007828	1
OG0007831	1
OG0007835	1
